#1-rated: /top-rated/  A ac; good hyphenated
'em: /them/  PRP 'them'
'emselves: /themselves/  PRP reflexive 'themselves'
'fore: /before/  P SC
'tween: /between/  RB P
2-dimensional: /2-dimensional/  A ac; hyphenated
2-hitter: /2-hitter/  NN nc; hyphenated
24x7: /24x7/  A xC; RB freq
3-dimensional: /3-dimensional/  A ac; hyphenated
4-dimensional: /4-dimensional/  A ac; hyphenated
4-membered: /4-membered/  A ac; hyphenated
401-k: /401-k/  NN nc; hyphenated
9-membered: /9-membered/  A ac; hyphenated
G'nite: /good_night/  NN nc;  cliche
Gnite: /good_night/  NN nc;  cliche
a.k.a: /a.k.a/  A ac;
a.m: /a.m/  NN topN3; RB n
a/k/a: NN nc;
aaawww: /aaawww/  ; UH
aah: /aah/  UH VB vc;
aalii: /aalii/  NN nc;
aardvark: /aardvark/  NN nc;
aba: /aba/  NN nc;
abaci: /abaci/  NNS Xs nc;
abactinal: /abactinal/  A ac;
abaft: /abaft/  ; RB advX
abaptista: /abaptista/  NNS Xs nc;
abaptiston: /abaptiston/  NN nc;
abaringe: /abaringe/  NN nc;
abarticulation: /abarticulation/  NN nc;
abasia: /abasia/  NN nc;
abasic: /abasic/  A ac;
abatable: /abatable/  A ac;
abatic: /abatic/  A ac;
abattis: /abattis/  NN nc;
abbacy: /abbacy/  NN nc;
abbatial: /abbatial/  A ac;
abdicable: /abdicable/  A ac;
abdominis: /abdominis/  NN nc;
abdominocentesis: /abdominocentesis/  NN nc;
abdominous: /abdominous/  A ac;
abdominousness: /abdominousness/  NN nc;
abdominovesical: /abdominovesical/  A ac;
abducens: /abducens/  NN nc;
abducent: /abducent/  A NN ac;
abecedarius: /abecedarius/  NN nc;
abed: /abed/  ; RB advX
abelia: /abelia/  NN nc;
abelmosk: /abelmosk/  NN nc;
aberrancy: /aberrancy/  NN nc;
abetalipoproteinaemia: /abetalipoproteinaemia/  NN nc;
abetalipoproteinemia: /abetalipoproteinemia/  NN nc;
abettal: /abettal/  NN nc;
abeyant: /abeyant/  A ac;
abience: /abience/  NN nc;
abient: /abient/  A ac;
