tear_duct:N nc bodyPartN perF
tear_ducts:NNS plu nc bodyPartN perF 'tear_duct'
eye_lash:N nc bodyPartN perF
eye_lashes:NNS plu nc bodyPartN perF 'eye_lash'
#1_rated: A ac; 
'emselves: ;PRP reflexive 
'thirties: N nc;Xs plu 
1-hitter: NN nc; 
1st/Premium: NN nc; 
2-hitter: NN nc; 
24/7: A NN RB nc; 

24_x_7: A NNP xC;RB freq '24x7' 
3-hitter: NN nc; 
3D_puzzler: NN nc; 
4-hitter: NN nc; 
4-membered: A ac; 
5-hitter: NN nc; 
5-membered: A ac; 
6-membered: A ac; 
7-membered: A ac; 
8-membered: A ac; 
9-membered: A ac; 
a.s.a.p.: ;RB 'as_soon_as_possible' 
a_bit: ;RB 
a_cappella: ;RB 
a_couple_of: ;CD DT 
a_few: ;CD DT 
a_fortiori: A ac;RB 


a_fuck_yeah: NN nc; 
a_good_few: ;DT 
a_good_many: ;DT 
a_great_many: ;DT 

a_heck_of: RB;DT vtt 
a_hell_of_a_lot: ;RB 
a_la_mode: ;RB 
a_little: A xC;RB 
a_little_bit: NN;RB n 
a_lot: ;RB 
a_posteriori: ;RB 
a_priori: A idiom;RB hyphenated 
a_tad: ;RB 
a_tad_bit: ;RB 
a_tiny_bit: ;RB 
a_very_little: ;DT 
ab_initio: A idiom;RB hyphenated 
abasia_trepidans: NN nc; 
abdominal_aorta: NN nc; 
abdominal_aortas: NN NNS nc;Xs n plu 'abdominal_aorta' 
abdominal_cavities: NNS nc;Xs plu 'abdominal_cavitie' 
abdominal_cavity: NN nc; 
abdominal_nerve_plexi: NNS nc;Xs plu 
abdominal_nerve_plexus: NN nc; 
abducens_muscle: NN nc; 
abducens_muscles: NN NNS nc;Xs n plu 'abducens_muscle' 
abductor_muscle: NN nc; 
abductor_muscles: NN NNS nc;Xs n plu 'abductor_muscle' 


abnormal_body_build: NN nc; 
about_turn: NN nc; 
about_turns: NN NNS nc;Xs n plu 'about_turn' 
above_and_beyond: P; 


abruptio_placentae: NN nc; 
absentee_ballot: NN nc; 
absentee_ballots: NN NNS nc;Xs n plu 'absentee_ballot' 
absolute_ceiling: NN nc; 
absolute_ceilings: NN NNS nc;Xs n plu 'absolute_ceiling' 
absolute_frequencies: NNS nc;Xs plu 'absolute_frequencie' 
absolute_frequency: NN nc; 
absolute_magnitude: NN nc; 
absolute_magnitudes: NN NNS nc;Xs n plu 'absolute_magnitude' 
absolute_majorities: NNS nc;Xs plu 'absolute_majoritie' 
absolute_majority: NN nc; 
absolute_pitch: NN nc; 
absolute_scale: NN nc; 
absolute_space: NN nc;vac 
absolute_temperature: NN nc; 
absolute_temperatures: NN NNS nc;Xs n plu 'absolute_temperature' 
absolute_threshold: NN nc; 
absolute_thresholds: NN NNS nc;Xs n plu 'absolute_threshold' 
absolute_value: NN nc; 
absolute_values: NN NNS nc;Xs n plu 'absolute_value' 
absolute_viscosities: NNS nc;Xs plu 'absolute_viscositie' 
absolute_viscosity: NN nc; 
absorption_band: NN nc; 
absorption_bands: NN NNS nc;Xs n plu 'absorption_band' 
absorption_coefficient: NN nc; 
absorption_coefficients: NN NNS nc;Xs n plu 'absorption_coefficient' 
absorption_factor: NN nc; 
absorption_factors: NN NNS nc;Xs n plu 'absorption_factor' 


absorption_spectra: NNS nc;Xs plu 
absorption_spectrum: NN nc; 
abutment_arch: NN nc; 
abutment_arches: NNS nc;Xs plu 'abutment_arche' 
acanthosis_nigricans: NN nc; 
accent_mark: NN nc; 
accent_marks: NN NNS nc;Xs n plu 'accent_mark' 
acceptance_sampling: NN nc; 
accessories_after_the_fact: NNS nc;Xs plu 
accessories_before_the_fact: NNS nc;Xs plu 
accessories_during_the_fact: NNS nc;Xs plu 
accessory_fruit: NN nc; 
accessory_nerve: NN nc; 
accessory_nerves: NN NNS nc;Xs n plu 'accessory_nerve' 
accident_surgeries: NNS nc;Xs plu 'accident_surgerie' 
accident_surgery: NN nc; 


accidental_hypothermia: NN nc; 
accommodation_reflex: NN nc; 
accommodation_reflexes: NNS nc;Xs plu 'accommodation_reflexe' 
accounts_payable: NN NNS nc;Xs plu 
accounts_receivable: NN NNS nc;Xs plu 
accrual_basis: NN nc; 
accu_check: NN VB;n 
accumulator_register: NN nc; 
accumulator_registers: NN NNS nc;Xs n plu 'accumulator_register' 


acesulfame_K: NN nc; 
acetyl_radical: NN nc; 
acetyl_radicals: NN NNS nc;Xs n plu 'acetyl_radical' 
achylia_gastrica: NN nc; 
acid_dye: NN nc; 
acid_dyes: NN NNS nc;Xs n plu 'acid_dye' 
acid_heads: NNS nc;per 'acid_head' 
acid_pH: NN nc; 
acid_precipitation: NN nc; 
acid_rock: NN nc; 
acid_value: NN nc; 
acid_values: NN NNS nc;Xs n plu 'acid_value' 
acne_conglobata: NN nc; 
acne_cystica: NN nc; 
acne_fulminans: NN nc; 
acne_rosacea: NN nc; 
acne_vulgaris: NN nc; 
acorn_cup: NN nc; 
acorn_cups: NN NNS nc;Xs n plu 'acorn_cup' 


acoustic_meatus: NN nc; 
acoustic_nerve: NN nc; 
acoustic_nerves: NN NNS nc;Xs n plu 'acoustic_nerve' 
acrodermatitis_chronica_atrophicans: NN nc; 
acrodermatitis_continua: NN nc; 
acrodermatitis_enteropathica: NN nc; 
across_from: P; 

acrylic_fiber: NN nc; 
acrylic_fibers: NN NNS nc;Xs n plu 'acrylic_fiber' 
acted_out: Ved Ven past vc; 
actinic_radiation: NN nc; 
actinic_ray: NN nc; 
actinic_rays: NN NNS nc;Xs n plu 'actinic_ray' 
action_at_law: NN nc; 
action_potential: NN nc; 
action_potentials: NN NNS nc;Xs n plu 'action_potential' 
action_spectra: NNS nc;Xs plu 
action_spectrum: NN nc; 
actions_at_law: NNS nc;Xs plu 
acts_out: vc;VBZ 
actuarial_table: NN nc; 
actuarial_tables: NN NNS nc;Xs n plu 'actuarial_table' 
actus_reus: NN nc; 
acute_abdomen: NN nc; 
acute_confusion: NN nc; 
