


1_star: A ac; nt
100_percent: xC; RB emph intensifier percent
24-hour_interval: N nc unit;
2nd_lieutenant: N nc; job
3_4-methylenedioxy-n-methylamphetamine: N nc; artifact
3d_puzzler: N nc; prod
3d_radar: N nc; tool
4_star: N nc; pt
5_star: N nc; comfortW
5/5_star: N nc; comfortW
a_bitch: N nc; bad
a_devil: A ac; bad
a_go-to: N nc; pt
a_good_number_of: DT;
a_horizon: N nc;
a_kind_of: DT;
a_la: P; about content /about/
a_lot_of_such: DT;
a_number_of: DT;
a_sort_of: DT;
a_string_of: DT;
a_ton_of: A ac;
a_while: N nc;
a_whirlpool_of: DT;
a._g: NNP;
a._g.: NNP;
aaha_wow: UH;
aaron's_rod: NN NNP;
abdominal_drainage: N nc; treatment
abdominal_hysterectomy: N nc; treatment
abdominal_radiotherapy: N nc; treatment
abdominal_surgery: N nc; treatment
abdominal_wall: N nc; bodyPart
abducens_nerve: N nc; bodyPart
abducent_nerve: N nc; bodyPart
aberdeen_angus: NN NNS;
abide_by: VB vc; chgFit perOrgV
abney_level: N nc; tool
abortion_pill: N nc; prod
above_average: A ac; good
above_board: A ac; AitPPforTO idiomPP
above_reproach: A ac; idiomPP
above_suspicion: A ac; idiomPP
abrading_stone: N nc; tool
abrasive_material: N nc; prod
abscess_drainage: N nc; treatment
absolute_zero: N nc; abstract
absorbent_material: N nc; prod
absorption_indicator: N nc; prod
absorption_unit: N nc unit;
academic_costume: N nc; tool
academic_department: N nc; orgHN
academic_gown: N nc; tool
academic_robe: N nc; tool
academy_award: NNP;
academy_awards: NNP Xs;
acceleration_unit: N nc unit;
accelerator_pedal: N nc; tool
access_code: N nc; tool
accommodation_endorser: N nc; per
accompanying_vein: N nc; bodyPart
according_as: SC
according_to: P;
account_manager: N nc; job
accounting_firm: N nc; com
acesulfame_k: N;
acetate_disk: N nc; tool
achilles_tendon: N nc; bodyPart
acid_halide: N nc; prod
acid_head: N nc; per
acid_ph: N;
acid_production: N nc; ntN
acid_tolerance: N nc; abstract
aclinic_line: N nc;
acne_scar: N nc; nt
acorn_tube: N nc; tool
acoustic_device: N nc; prod
acoustic_gramophone: N nc; tool
acoustic_modem: N nc; tool
acre_foot: N nc unit;
acre_inch: N nc unit;
acrid_smoke: N nc; ntN
acrylate_resin: N nc; prod
acrylic_resin: N nc; prod
act_out: VB vc; nt vac vt
act_up: ; VI nt vac vi
acting_out: VB vc; Ving abstract
action_officer: N nc; per
action_title: N nc; prod
activating_agent: N nc; prod
active_agent: N nc; prod
active_application: N nc; tool
active_immunization: N nc; treatment
active_state: N nc; abstract
actor's_agent: N nc; job
acupuncture_analgesia: N nc; treatment
acute_toxicity: N nc; abstract nt
acyl_halide: N nc; prod
ad_agency: N nc; com
add_in: VB vc; VNPPP moreC vac vt
add_on: VB vc; chgInclude moreC vac vt
adding_machine: N nc; count tool
additional_charge: N nc; nt
addressing_machine: N nc; tool
adhesive_bandage: N nc; tool
adhesive_material: N nc; prod
adhesive_tape: N nc; prod
adipofascial_flap: N nc; treatment
adipose_cell: N nc; bodyPart
adjacent_to: P; /next_to/
adjustable_wrench: N nc; count prod tool
adjutant_general: N nc; job
adjuvant_chemotherapy: N nc; treatment
adjuvant_therapy: N nc; treatment
admin_assistant: N nc; job
admin_clerk: N nc; job
administrative_assistant: N nc; job
administrative_body: N nc; orgHN
administrative_district: N nc;
administrative_division: N nc;
administrative_unit: N nc; orgHN
admiralty_mile: N nc unit;
admission_day: N;
admit_to: VB vc; nt
adonic_line: N;
adonis_annua: N;
adonis_annuae: NNS;
adoptive_immunotherapy: N nc; treatment
adoptive_parent: N nc; per
adoptive_transfer: N nc; treatment
adp_system: N nc; prod tool
adrenal_gland: N nc; bodyPart
adrenal_medullectomy: N nc; treatment
adrenergic_stimulation: N nc; treatment
adult_female: N nc; per
adult_male: N nc; per
advanced_country: N nc;
adverse_effect: N nc; effectN nt
adverse_reaction: N nc; problem
adverse_witness: N nc; ness per
advisory_board: N nc; orgHN
advisory_panel: N nc; orgHN
advocacy_group: N nc; orgHN
aerial_torpedo: N nc; tool
aerial_tramway: N nc; tool
aerosol_can: N nc; prod
aerosol_container: N nc; prod
aesthetic_appeal: N nc; pt
af_lag: N nc; nt
afferent_neuron: nc /neuron/
aflatoxin_b: N nc; nt
aflatoxin_b1: N nc; nt
aflatoxin_b2: N nc; nt
aflatoxin_g1: N nc; nt
aflatoxin_g2: N nc; nt
aflatoxin_m1: N nc; nt
aflatoxin_m2: N nc; nt
african_american: NNP nc; origin per
after_feel: N nc; Key
after_hours: A; RB idiomPP
after_taste: N nc; Key
after-shave_lotion: N nc; prod
agate_line: N nc unit;
agency_producer: N nc; job
agent_bank: N nc; com
agent_provocateur: N nc; count job
aggressive_challenge: N nc; troubleW
agonic_line: N nc;
agony_aunt: N nc; per
agricultural_agent: N nc; job
agriculture_secretary: N nc; job
ahaha_wow: UH;
ahead_of: P; vtt
aid_group: N nc; orgHN
ain't_shit: A VB ac oral vc; curse
air_cell: N nc; bodyPart
air_cleaner: N nc; prod
air_compressor: N nc; tool
air_conditioner: N nc; tool
air_conditioning: N nc; prod
air_corps: N nc; orgHN
air_division: N nc; orgHN
air_filter: N nc; prod
air_force: N nc; orgHN
air_group: N nc; orgHN
air_gun: N nc; tool
air_hammer: N nc; tool
air_hose: N nc; prod tool
air_lane: N nc;
air_marshal: N nc; job
air_mile: N nc unit;
air_pump: N nc; count tool
air_raid: N nc; count event
air_rifle: N nc; tool
air_shaft: N nc; count tool
air_space: N nc;
air_thermometer: N nc; tool
air_traveler: N nc; count per
air_traveller: N nc; count per
air_unit: N nc; orgHN
aircraft_carrier: N nc; tool
aircraft_engine: N nc; tool
airplane_propeller: N nc; tool
alarm_clock: N nc; count tool
alarm_installer: N nc; job
alarm_system: N nc; prod
alarming_speed: N nc; solution
alaska_native: N nc; origin per
alaskan_native: N nc; origin per
albumin_dialysis: N nc; treatment
alcohol_content: N nc; ntN
alcohol_thermometer: N nc; tool
aldolase_a: N;
aldolase_b: N;
aldolase_c: N;
aldosterone_blockade: N nc; treatment
ale_drinker: N nc; per
aleppo_boil: N;
alexander_archipelago: NNP;
alexander_technique: N nc; treatment
alexandria_senna: N;
alexandrian_senna: N;
algerian_centime: N nc unit;
algerian_dinar: N nc unit;
alien_absconder: N nc; per
aliterate_person: N nc; per
alizarin_test: N nc; tech
alkaline_ph: N;
all_arounder: N nc; per
all_of: ; pureDT vtt
all_or_any: DT;
all_right: UH;
all_such: DT; pureDT
all_that: DT;
all_the: DT; pureDT
all_these: DT;
all_this: DT;
all_those: DT;
allen_wrench: N nc; count tool
