20-20_technologies::: NNP NE;nc com nc 
3c_electronics::: NNP NE;nc com nc 
3vr_security::: NNP NE;nc com nc 
4.5_out_of_5_stars::: A ac;pt 
5_out_of_5_stars::: A ac;pt 
a-data_technology::: NNP NE;nc com nc 
a-one_chemicals_and_equipment::: NNP NE;nc com nc 
a.d._vision::: NNP NE;nc com nc 
a_&_c_chemicals::: NNP NE;nc com nc 
a_big_let_down::: A NN ac nc;troubleW 
a_bit_of::: DT;pureDT quant vtt 
a_class_above::: N nc;good weakPI 
a_few_of::: ;count pureDT quant vtt 
a_few_other::: DT;count pureDT quant 
a_few_such::: DT;count pureDT quant 
a_good_while::: N nc;timeUnit 
a_great_deal_of::: DT;pureDT quant vtt 
a_hell_of::: oral;DT RB pro vtt 
a_hell_yea::: A NN ac nc oral;coolC 
a_hell_yeah::: A NN ac nc oral;coolC 
a_huge_let_down::: A NN ac nc;troubleW 
a_la_carte::: A ac idiom;RB abstract hyphenated 
a_let_down::: A NN ac nc;troubleW 
a_little_other::: DT;pureDT quant 
a_little_out_of_hand::: ;RB nt 
a_little_such::: DT;pureDT quant 
a_lot_f::: ;pureDT quant vtt 
a_lot_of::: DT;pureDT quant vtt 
a_lot_of_other::: DT;pureDT quant 
a_man_of_his_word::: N nc;pt 
a_massive_let_down::: A NN ac nc;troubleW 
a_must_have::: N nc;count good 
a_piece_of_shit::: N nc;curse 
a_sense_of_family::: N nc;pt 
a_very_few_of::: ;count pureDT quant vtt 
a_wealth_of::: DT;pureDT quant vtt 
a_while_ago::: ;RB idiomPP timeRB 
a_while_back::: ;RB idiomPP timeRB 
a_woman_of_her_word::: N nc;pt 
aastra_technologies::: NNP NE;nc com nc 
aavid_thermal_technologies::: NNP NE;nc com nc 
abbott_laboratories::: NNP NE;nc com nc 
abdominal_wall_closure::: N nc;treatment 
abercrombie_&_fitch::: NNP NE;nc com nc 
abilene_christian_university::: ;NN nc org 
abortion_inducing_drug::: N nc;prod 
above_and_beyond_the_call_of_duty::: A ac;idiomPP 
above_knee_amputation::: N nc;treatment 
above_the_law::: A ac;idiomPP pred 
abraham_baldwin_agricultural_college::: ;NN nc org 
abrex_paint_and_chemical::: NNP NE;nc com nc 
abu_qir_fertilisers_and_chemical_industries::: NNP NE;nc com nc 
academy_of_art_university::: ;NN nc org 
acal_electronics::: NNP NE;nc com nc 
accelerate_technology::: NNP NE;nc com nc 
accelr8_technology::: NNP NE;nc com nc 
access_integrated_technologies::: NNP NE;nc com nc 
access_travel::: NNP NE;nc com nc 
accessory_after_the_fact::: NN nc;per 
accessory_before_the_fact::: NN nc;per 
accessory_during_the_fact::: NN nc;per 
according_to_all_accounts::: ;RB idiomPP plu 
accounting_and_auditing_policy_committee::: ;NN nc org 
accounts_services_manager::: N nc;job 
accton_technology::: NNP NE;nc com nc 
ace_tempest_re::: NNP NE;nc com nc 
acelon_chemicals_&_fiber::: NNP NE;nc com nc 
aceto_chemicals::: NNP NE;nc com nc 
acg_identification_technologies::: NNP NE;nc com nc 
acid_base_indicator::: N nc;prod 
acid_food_treatment::: N nc;tech 
acoustic_delay_line::: N nc;tool 
acoustics_and_vibration_technology::: NNP NE;nc com nc 
acquisition_and_assistance_management_services::: ;NN nc org 
acquisition_marketing_manager::: N nc;job 
across_the_board::: ;RB idiomPP 
active-semi_international::: NNP NE;nc com nc 
active_matrix_screen::: N nc;tool 
actron_technology::: NNP NE;nc com nc 
actuarial_programmer_analyst::: N nc;count job 
acuo_technologies::: NNP NE;nc com nc 
acute_technology::: NNP NE;nc com nc 
ad_solution_manager-music::: N nc;job 
ad_solutions_manager-small_biz::: N nc;job 
adams_express::: NNP NE;nc com nc 
adams_state_college::: ;NN nc org 
add_on_therapy::: N nc;treatment 
add_together::: VB vc;vt 
add_up::: VB vc;VPP vt 
address_machine::: N nc;tool 
addvantage_technologies_group::: NNP NE;nc com nc 
adenosine_deaminase_inhibition::: N nc;treatment 
adenosine_deaminase_level::: N nc;abstract 
adenylate_cyclase_toxin::: N nc;nt 
adept_technology::: NNP NE;nc com nc 
adeptron_technologies::: NNP NE;nc com nc 
adherex_technologies::: NNP NE;nc com nc 
adhesives_line_chemicals::: NNP NE;nc com nc 
aditya_birla_chemicals::: NNP NE;nc com nc 
administration_on_aging::: ;NN nc org 
administrative_committee_of_the_federal_register::: ;NN nc org 
administrative_office_of_the_u.s._courts::: ;NN nc org 
adrenal_autoantibody_level::: N nc;abstract 
adrenergic_receptor_blocking::: N nc;treatment 
adrenocortical_carcinoma_cellular_diagnosis::: N nc;treatment 
adult_acute_lymphocytic_leukemia_cellular_diagnosis::: N nc;treatment 
adult_acute_myeloid_leukemia_cellular_diagnosis::: N nc;treatment 
adult_acute_nonlymphocytic_leukemia_cellular_diagnosis::: N nc;treatment 
adult_all_cellular_diagnosis::: N nc;treatment 
adult_anll_cellular_diagnosis::: N nc;treatment 
adult_hodgkin's_disease_cellular_diagnosis::: N nc;treatment 
adult_nhl_cellular_diagnosis::: N nc;treatment 
adult_non-hodgkin's_lymphoma_cellular_diagnosis::: N nc;treatment 
adult_primary_liver_cancer_cellular_diagnosis::: N nc;treatment 
adult_soft_tissue_sarcoma_cellular_diagnosis::: N nc;treatment 
advanced_agri-solutions::: NNP NE;nc com nc 
advanced_biochemicals::: NNP NE;nc com nc 
advanced_fertilizing_technology::: NNP NE;nc com nc 
advanced_immunochemical::: NNP NE;nc com nc 
advanced_international_technology::: NNP NE;nc com nc 
advanced_medical_technology::: NNP NE;nc com nc 
advanced_micro_devices::: NNP NE;nc com nc 
advanced_photonics_technologies::: NNP NE;nc com nc 
advanced_research_and_development_activity::: ;NN nc org 
advanced_rotorcraft_technology::: NNP NE;nc com nc 
advanced_simulation_technology::: NNP NE;nc com nc 
advanced_technologies_group::: NNP NE;nc com nc 
advanced_vision_technology::: NNP NE;nc com nc 
advertise_agency::: N nc;com 
advertise_department::: N nc;orgHN 
advertise_division::: N nc;orgHN 
advisory_committee_on_student_financial_assistance::: ;NN nc org 
advisory_council_on_historic_preservation::: ;NN nc org 
aecom_technology::: NNP NE;nc com nc 
aekyung_specialty_chemicals::: NNP NE;nc com nc 
aero_agro_chemical::: NNP NE;nc com nc 
aerospace_technology::: NNP NE;nc com nc 
affiliate_payment_coordinator::: N nc;job 
affiliated_computer::: NNP NE;nc com nc 
affinis_exports::: NNP NE;nc com nc 
african_development_foundation::: ;NN nc org 
after_all's_said_and_done::: RP;RB idiomPP sRB 
after_all_is_said_and_done::: RP;RB idiomPP sRB 
after_shave_balm::: N nc;prod 
aftermarket_technology::: NNP NE;nc com nc 
against_all_odds::: ;RB idiomPP pred 
against_the_grain::: ;RB idiomPP 
against_the_odds::: ;RB idiomPP pred 
against_the_tide::: ;RB idiomPP 
agence_france-presse::: NNP NE;nc com nc 
agency_for_healthcare_research_and_quality::: ;NN nc org 
agency_for_international_development::: ;NN nc org 
agency_for_toxic_substances_and_disease_registry::: ;NN nc org 
agency_relationship_manager::: N nc;job 
agexport_services_division::: ;NN nc org 
agilent_technologies::: NNP NE;nc com nc 
agitar_software::: NNP NE;nc com nc 
agricultural_labor_affairs_coordinator::: ;NN nc org 
agricultural_marketing_service::: ;NN nc org 
agricultural_research_service::: ;NN nc org 
agrium_advanced_technologies::: NNP NE;nc com nc 
agro-care_chemical_industry_group::: NNP NE;nc com nc 
agrosanto_chemical::: NNP NE;nc com nc 
ahead_of_the_game::: A ac;idiomPP pred 
ahead_of_time::: ;RB chgMeasure idiomPP pro timeRB 
aib_college_of_business::: ;NN nc org 
aichi_kokuki::: NNP NE;nc com nc 
aiken_technical_college::: ;NN nc org 
air_force_agency_for_modeling_and_simulation::: ;NN nc org 
air_force_audit_agency::: ;NN nc org 
air_force_base::: N nc;locUnit 
air_force_center_for_environmental_excellence::: ;NN nc org 
air_force_civil_engineer_support_agency::: ;NN nc org 
air_force_communications_agency::: ;NN nc org 
air_force_historical_research_agency::: ;NN nc org 
air_force_history_support_office::: ;NN nc org 
air_force_information_warfare_center::: ;NN nc org 
air_force_inspection_agency::: ;NN nc org 
air_force_institute_of_technology::: ;NN nc org 
air_force_intelligence_surveillance_and_reconnaissance::: ;NN nc org 
air_force_legal_services_agency::: ;NN nc org 
air_force_materiel_command::: ;NN nc org 
air_force_medical_operations_agency::: ;NN nc org 
air_force_medical_support_agency::: ;NN nc org 
air_force_news_agency::: ;NN nc org 
air_force_office_of_scientific_research::: ;NN nc org 
air_force_office_of_special_investigations::: ;NN nc org 
air_force_office_of_survivor_assistance::: ;NN nc org 
air_force_personnel_center::: ;NN nc org 
air_force_real_property_agency::: ;NN nc org 
air_force_research_laboratory::: ;NN nc org 
air_force_reserve_command::: ;NN nc org 
air_force_reserve_officer_training_corps::: ;NN nc org 
air_force_reserve_personnel_center::: ;NN nc org 
air_force_safety_center::: ;NN nc org 
air_freshening_machine::: N nc;prod tool 
air_products_&_chemicals::: NNP NE;nc com nc 
aircraft_electronic_engineering::: NNP NE;nc com nc 
ajax_amsterdam::: NNP NE;nc com nc 
ajit_electronics::: NNP NE;nc com nc 
akzo_chemicals::: NNP NE;nc com nc 
alabama_a&m_university::: ;NN nc org 
alabama_state_university::: ;NN nc org 
alanco_technologies::: NNP NE;nc com nc 
alaska_bible_college::: ;NN nc org 
alaska_pacific_university::: ;NN nc org 
albany_law_school::: ;NN nc org 
albany_state_university::: ;NN nc org 
albertson_college_of_idaho::: ;NN nc org 
albertus_magnus_college::: ;NN nc org 
alcan_chemicals::: NNP NE;nc com nc 
alcoa_world_alumina_and_chemicals::: NNP NE;nc com nc 
alcorn_state_university::: ;NN nc org 
alderbrook_vineyards_&_winery::: NNP NE;nc com nc 
alderson-broaddus_college::: ;NN nc org 
alexandria_technical_college::: ;NN nc org 
alfakleen_chemical_laboratories::: NNP NE;nc com nc 
alfred_state_college,_state_university_of_new_york_college_of_technology::: ;NN nc org 
align_technology::: NNP NE;nc com nc 
alion_science_and_technology::: NNP NE;nc com nc 
alk_technologies::: NNP NE;nc com nc 
all_access_pass::: N nc;pt 
all_day_shift::: N nc;nt 
all_for_the_best::: A ac;idiomPP imperative 
all_in_a_day's_work::: A ac;idiomPP pred 
all_joking_aside::: oral;RB idiomPP 
all_kidding_aside::: oral;RB idiomPP 
all_over_the_place::: ;RB idiomPP 
all_saints'_day::: N nc;timeUnit 
all_shook_up::: A ac;idiomPP pred 
all_souls'_day::: N nc;timeUnit 
all_the_way::: ;RB tWord 
all_year_round::: ;RB idiomPP timeRB 
allegheny_college_of_maryland::: ;NN nc org 
allegheny_technologies::: NNP NE;nc com nc 
allergy_test::: NN VB vc;pt 
alliance_fiber_optic_products::: NNP NE;nc com nc 
alliant_international_university::: ;NN nc org 
allied_electronics::: NNP NE;nc com nc 
allied_motion_technologies::: NNP NE;nc com nc 
allied_photochemical::: NNP NE;nc com nc 
allison_technology::: NNP NE;nc com nc 
allogenic_bone_marrow_transplantation::: N nc;treatment 
allow_out::: VB vc;vt 
almaden_research_center::: NNP NE;nc com nc 
along_for_the_ride::: A ac;idiomPP 
along_in_years::: A ac;idiomPP //?
along_the_way::: ;RB idiomPP 
alpha_&_omega_semiconductor::: NNP NE;nc com nc 
alpha_adrenergic_blocking::: N nc;treatment 
alpha_adrenergic_receptor_blocking::: N nc;treatment 
alpha_adrenergic_stimulation::: N nc;treatment 
alpine_electronics::: NNP NE;nc com nc 
altadox_electronics_manufacturer::: NNP NE;nc com nc 
altair_nanotechnologies::: NNP NE;nc com nc 
alteon_websystems::: NNP NE;nc com nc 
altheimer_&_gray::: NNP NE;nc com nc 
altra_biofuels::: NNP NE;nc com nc 
altria_group::: NNP NE;nc com nc 
amberton_university::: ;NN nc org 
american_acces_technologies::: NNP NE;nc com nc 
american_airlines::: NNP NE;nc com nc 
american_battle_monuments_commission::: ;NN nc org 
american_broadcasting::: NNP NE;nc com nc 
american_computer_optics::: NNP NE;nc com nc 
american_custom_chemicals::: NNP NE;nc com nc 
american_henderson_motorcycle::: NNP NE;nc com nc 
american_intercontinental_university::: ;NN nc org 
american_locomotive::: NNP NE;nc com nc 
american_recordings::: NNP NE;nc com nc 
american_standard_code_for_info_interchange::: N nc;tool 
american_technology::: NNP NE;nc com nc 
amherst_college::: ;NN nc org 
ami_drugs_&_speciality_chemicals_india::: NNP NE;nc com nc 
amkor_technology::: NNP NE;nc com nc 
amoeba_music::: NNP NE;nc com nc 
amtran_technology::: NNP NE;nc com nc 
anabaena_flos_aquae_toxin::: N nc;nt 
anal_cancer_cellular_diagnosis::: N nc;treatment 
anal_wank_stain::: N nc;curse 
anchor_blue_clothing::: NNP NE;nc com nc 
andover_college::: ;NN nc org 
angelo_state_university::: ;NN nc org 
angiogenic_gene_therapy::: N nc;treatment 
angle_of_attack::: N nc; 
angle_of_dip::: N nc; 
angle_of_extinction::: N nc; 
angle_of_incidence::: N nc; 
angle_of_inclination::: N nc; 
