aardwolf::: /aardwolf/  NN; nc animal
abaca::: /abaca/  NN; nc plant
abacinate::: /abacinate/  VB; vc
abacus::: /abacus/  NN; nc count tool
abalone::: /abalone/  NN; nc animal
abandon::: /abandon/  VB; vc VNPPP VNPPPas VNPTOoc abstract perOrgV remove vac vt
abandoner::: /abandoner/  NN; nc per
abandonn::: /abandonn/  N0 VB; vc VNPPP VNPPPas VNPTOoc abstract perOrgV remove vac vt
abase::: /abase/  VB; vc annoy quantChg vt
abash::: /abash/  VB; vc noKnowledge vt
abate::: /abate/  VB; vc VI lessC pt vac vt
abatis::: /abatis/  NN; nc artifact
abator::: /abator/  NN; nc per
abattoir::: /abattoir/  NN; nc count group
abaxial::: /abaxial/  A ac; dir
abaya::: /abaya/  NN; nc tool
abbe::: /abbe/  NN; nc count per
abbess::: /abbess/  NN; nc count per
abbot::: /abbot/  NN; nc count per
abbreviate::: /abbreviate/  VB; vc VNPPP VNPPPas chgAttr chgQuant vt
abbreviation::: /abbreviation/  NN deverbal nc; VerbNom component name
abbreviator::: /abbreviator/  NN; nc per
abcess::: /abcess/  NN; nc component
abdicate::: /abdicate/  VB; vc VNPPP VPPas give
abdication::: /abdication/  NN deverbal nc; VerbNom act
abdicator::: /abdicator/  NN; nc per
abdomen::: /abdomen/  NN; nc bodyPart component
abdominal::: /abdominal/  A ac; component vac
abduce::: /abduce/  VB; vc
abduct::: /abduct/  VB; vc VNPPP move take vt
abduction::: /abduction/  NN deverbal nc; VerbNom
abductor::: /abductor/  NN; nc component count per
abecedarian::: /abecedarian/  A NN; nc per
aberation::: /aberation/  NN deverbal nc; nt standard vac
aberrance::: /aberrance/  NN deverbal nc; VerbNom
aberrant::: /aberrant/  A N ac; ATH AitPPforTO nt per standard
aberrate::: /aberrate/  VB; vc vt
aberration::: /aberration/  NN deverbal nc; VerbNom nt standard vac
abet::: /abet/  VB; vc VNPNGoc VNPPNGoc VNPPP VhisNG enDo vt
abetment::: /abetment/  NN; nc chg
abetter::: /abetter/  NN; nc per
abettor::: /abettor/  NN; nc per
abeyance::: /abeyance/  NN; nc abstract
abhor::: /abhor/  VB; vc VHOWSS VPPforTO VTH VhisNG emph hate passion vt vtoV
abhorrence::: /abhorrence/  NN deverbal nc; VerbNom troubleW
abhorrent::: /abhorrent/  A ac; APP ATH AitPPforTO troubleW
abhorrer::: /abhorrer/  NN; nc per troubleW
abidance::: /abidance/  NN deverbal nc; VerbNom statePhy
abide::: /abide/  VB; vc VPP VhisNG undergo vt
ability::: /ability/  NN topN2; nc Nom VPPforTO abstract ebla up vacVTO vacWith vtoV
abilty::: /abilty/  NN; nc abstract ebla up vacVTO vacWith
abiogenist::: /abiogenist/  NN; nc per
abject::: /abject/  A ac; nt situation vac
abjection::: /abjection/  NN; nc abstract
abjuration::: /abjuration/  NN deverbal nc; VerbNom
abjure::: /abjure/  VB; vc VNPPP enHidden give
abjurer::: /abjurer/  NN; nc per
ablactate::: /ablactate/  VB; vc act vt
ablactation::: /ablactation/  NN deverbal nc; VerbNom act
ablate::: /ablate/  VB; vc looksChg vt
ablation::: /ablation/  NN deverbal nc; VerbNom statePhy treatment
ablative::: /ablative/  A NN; nc count performance
able::: /able/  A ac topN2; ATO ebla tWord
ablution::: /ablution/  NN; nc chg
abnegate::: /abnegate/  VB; vc give vt
abnegator::: /abnegator/  NN; nc per
abnormal::: /abnormal/  A ac topN3; ATH AitPPforTO nt standard
abode::: /abode/  NN; nc artifact count
abolish::: /abolish/  VB; vc VhisNG enHidden perOrgV remove vac
abolitionist::: /abolitionist/  NN; nc count per
abomasum::: /abomasum/  NN; nc component
abominable::: /abominable/  A ac; APP ATH AitPPforTO curse
abominate::: /abominate/  VB; vc VTH VhisNG hate vt
abomination::: /abomination/  NN deverbal nc; VerbNom troubleW
abominator::: /abominator/  NN; nc per troubleW
