'bout:: P; about content 'about' /about/
've:: MD VB; vc VNPEN VNPNGoc haveC possession tWord vt 'have' /have/
(he)waz:: V past; vc appear beC vAP 'be' /be/
(i)waz:: V past; vc appear beC vAP 'be' /be/
(it)waz:: V past; vc appear beC vAP 'be' /be/
(she)waz:: V past; vc appear beC vAP 'be' /be/
(so)exited:: A Ved ac pred; vc VNPPP emph happy passion promoteW vtPer 'excite' /excite/
(what)si:: 3pSg VBZ past; vc appear beC vAP 'be' /be/
only a substring matching, not a whole token matching
'wonder' /wonder/
1more:: DT; pureDT 'another' /another/
2mara:: N0 NN; nc BR RB todayC 'tomorrow' /tomorrow/
2moz:: N0 NN; nc BR RB todayC 'tomorrow' /tomorrow/
3do::: NNP NE; com  
3dskylines.com:: NNP; com 
3vr::: NNP NE; com  
4evr:: ; RB advX dur freq 'forever' /forever/
4gets:: VB; vc VHOWSS VI VNG VNPNGoc VPP VPhisNG VSS VWHSS noKnowledge perV vt vtoV 'forget' /forget/
4getting:: VB; vc VHOWSS VI VNG VNPNGoc VPP VPhisNG VSS VWHSS noKnowledge perV vt vtoV 'forget' /forget/
4got:: VB; vc VHOWSS VI VNG VNPNGoc VPP VPhisNG VSS VWHSS noKnowledge perV vt vtoV 'forget' /forget/
4hm:: NNP; com 
4rm:: P; vac 'from' /from/
4shiz:: ; RB 'for_sure' /for_sure/
7pg:: NNP; com 
DISAPPIONTED:: A Ved ac pred vc weakPI; VTH annoy passion vtPer 'disappoint' /disappoint/
aahed:: Ved; vc VA v 'aah' /aah/
aahing:: Ving; 'aah' /aah/
aahs:: N V Xs ; nc VA v 'aah' /aah/
aaliis:: NNS Xs; nc n 'aalii' /aalii/
aapc:: ; org 'accounting_and_auditing_policy_committee' /accounting_and_auditing_policy_committee/
aastra:: NNP NE; com  
aavid:: NNP NE; com
abacinates:: VBZ; vc VA v 'abacinate' /abacinate/
abacuses:: NNS Xs; nc 'abacuse' /abacuse/
abandoned:: Ved negAdj past topN3; vc VNPPP VNPPPas VNPTOoc abstract perOrgV remove vt 'abandon' /abandon/
abandoning:: Ving; VNPPP VNPPPas VNPTOoc abstract perOrgV remove vt 'abandon' /abandon/
abandonned:: Ved negAdj; vc VNPPP VNPPPas VNPTOoc abstract perOrgV remove vt 'abandon' /abandon/
abandonning:: Ving; VNPPP VNPPPas VNPTOoc abstract perOrgV remove vt 'abandon' /abandon/
