abacinat: vc; 'abacinate' 
abas: vc;annoy quantChg vt 'abase' 
abashe: vc;noKnowledge vt 'abash' 
abat: vc;VI lessC pt vt 'abate' 
abbreviat: vc;VNPPP VNPPPas chgAttr chgQuant vt 'abbreviate' 
abdicat: vc;VNPPP VPPas give 'abdicate' 
abduc: vc; 'abduce' 
aberrat: vc;vt 'aberrate' 
abett: vc;VNPNGoc VNPPNGoc VNPPP VhisNG enDo vt 'abet' 
abhorr: vc;VHOWSS VPPforTO VTH VhisNG emph hate passion vt vtoV 'abhor' 
abid: nc vc;VPP VhisNG undergo vt 'abide' 
abjur: vc;VNPPP enHidden give 'abjure' 
ablactat: vc;act vt 'ablactate' 
ablat: vc;looksChg vt 'ablate' 
abnegat: vc;give vt 'abnegate' 
abolishe: vc;VhisNG enHidden perOrgV remove 'abolish' 
abominat: vc;VTH VhisNG hate vt 'abominate' 
abrad: vc;chgForm sequence 'abrade' 
abras: vc; 'abrase' 
abridg: vc;produce vt 'abridge' 
abrogat: vc;enHidden 'abrogate' 
abscis: vc;vt 'abscise' 
absolv: vc;VNPPP chgIsa vt 'absolve' 
absquatulat: vc; 'absquatulate' 
abutt: vc;VIrecip VPP tie 'abut' 
acced: vc;VPP pAttitude 'accede' 
accelerat: vc;VHOWSS VI VNPPP VPP VhisNG chgMeasure moreC vt 'accelerate' 
accentuat: vc;VTH VhisNG vt 'accentuate' 
accesse: vc;Key VerbNom vacTo vt 'access' 
acclimat: vc;VNPPP VPP VhisNG 'acclimate' 
acclimatis: vc;VNPPP VPP VhisNG suit vt 'acclimatise' 
acclimatiz: vc;VNPPP VPP VhisNG suit 'acclimatize' 
accommodat: vc;VI VNPPP VPP VhisNG pt vt 'accommodate' 
accompani: vc;VNPPP chase vt whileAway 'accompany' 
accompanie: vc;VNPPP chase vt whileAway 'accompany' 
accomplishe: vc;mkBetter succeed vt 'accomplish' 
accret: vc;vt 'accrete' 
accru: vc;VI VPP moreC quantChg vt 'accrue' 
acculturat: vc;vt 'acculturate' 
accumulat: vc;move quantChg take 'accumulate' 
accurs: vc; 'accurse' 
accus: vc;VNPPNGoc VNPPP blame perOrgV vt 'accuse' 
acerbat: vc; 'acerbate' 
acetifi: vc;chgAttr 'acetify' 
acetifie: vc;chgAttr 'acetify' 
acetylat: vc;vt 'acetylate' 
